nombre,posicion,cant_mundiales,lista_mundiales,clubes_en_mundiales,paises_clubes,fecha_nacimiento,fecha_iso,lugar_nacimiento,depto,pais_nacimiento,Latitud,Longitud,wiki_enlace,url_imagen
Richard Morales,Delantero,1,2002,Nacional,Uruguay,21 de febrero de 1975,2/21/1975,Las Piedras,Canelones,Uruguay,-34.72699,-56.21596,https://es.wikipedia.org/wiki/Richard_Morales,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/richard_morales_pa.jpg
Roberto Leopardi,Centrocampista,1,1954,Nacional,Uruguay,19 de julio de 1933,7/19/1933,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://www.auf.org.uy/roberto-leopardi/,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/roberto_leopardi_2.jpg
Roberto Matosas,Defensa,1,1970,Peñarol,Uruguay,11 de mayo de 1940,5/11/1940,Mercedes,Soriano,Uruguay,-33.24863,-58.01876,https://es.wikipedia.org/wiki/Roberto_Matosas,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Roberto_Matosas_%28River%29_-_El_Gr%C3%A1fico_2490.jpg/250px-Roberto_Matosas_%28River%29_-_El_Gr%C3%A1fico_2490.jpg
Roberto Sosa,Guardameta,2,"1962, 1966",Nacional,Uruguay,14 de junio de 1935,6/14/1935,San Carlos,Maldonado,Uruguay,-34.78855,-54.92082,https://es.wikipedia.org/wiki/Roberto_Eduardo_Sosa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Roberto_Eliseo_Sosa.jpg/250px-Roberto_Eliseo_Sosa.jpg
Rodolfo Pini,Centrocampista,1,1950,Nacional,Uruguay,12 de noviembre de 1926,11/12/1926,Fray Bentos,Río Negro,Uruguay,-33.12729,-58.29883,https://es.wikipedia.org/wiki/Rodolfo_Pini,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/rodolfo_pini_.jpg
Rodolfo Rodríguez,Guardameta,1,1986,Santos,Brasil,20 de enero de 1956,1/20/1956,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Rodolfo_Rodríguez,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/RodolfoRodr%C3%ADguez-Mundialito1980.jpg/250px-RodolfoRodr%C3%ADguez-Mundialito1980.jpg
Rodolfo Sandoval,Centrocampista,1,1970,Peñarol,Uruguay,4 de octubre de 1948,10/7/1948,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://en.wikipedia.org/wiki/Rodolfo_Sandoval,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Rodolfo_Sandoval.png/500px-Rodolfo_Sandoval.png
Rodrigo Bentancur,Centrocampista,3,"2018, 2022, 2026","Juventus, Tottenham Hotspur, Tottenham Hotspur","Italia, Inglaterra, Inglaterra",25 de junio de 1997,6/25/1997,Nueva Helvecia,Colonia,Uruguay,-34.29074,-57.23528,https://es.wikipedia.org/wiki/Rodrigo_Bentancur,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/20171114_AUT_URU_4518_-_Rodrigo_Bentancur_%28cropped%29_2.jpg/250px-20171114_AUT_URU_4518_-_Rodrigo_Bentancur_%28cropped%29_2.jpg
Rodrigo Muñoz,Guardameta,1,2014,Libertad,Paraguay,22 de enero de 1982,1/22/1982,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Rodrigo_Muñoz_(futbolista),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Rodrigo_Mu%C3%B1oz.jpg/250px-Rodrigo_Mu%C3%B1oz.jpg
Ronald Araújo,Defensa,2,"2022, 2026","Barcelona, Barcelona","España, España",7 de marzo de 1999,3/7/1999,Rivera,Rivera,Uruguay,-30.90306,-55.54211,https://es.wikipedia.org/wiki/Ronald_Araújo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/FC_Red_Bull_Salzburg_gegen_CF_Barcelona_%28Testspiel_4._August_2021%29_45_%28cropped%29.jpg/250px-FC_Red_Bull_Salzburg_gegen_CF_Barcelona_%28Testspiel_4._August_2021%29_45_%28cropped%29.jpg
Ronald Langón,Centrocampista,1,1962,Defensor Sporting,Uruguay,27 de noviembre de 1940,11/27/1940,Melo,Cerro Largo,Uruguay,-32.36910,-54.16423,https://atilio.uy/jugador:986,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/ronald_langon_.jpg
Roque Gastón Máspoli,Guardameta,2,"1950, 1954",Peñarol,Uruguay,12 de octubre de 1917,10/12/1917,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Roque_Gastón_Máspoli,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Roque_maspoli_posando.jpg/330px-Roque_maspoli_posando.jpg
Ruben Bareño,Delantero,1,1970,Nacional,Uruguay,23 de enero de 1944,1/23/1944,Las Piedras,Canelones,Uruguay,-34.72699,-56.21596,https://es.wikipedia.org/wiki/Ruben_Bareño,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/R%C3%BAben_Bare%C3%B1o.png/250px-R%C3%BAben_Bare%C3%B1o.png
Ruben Moran,Delantero,1,1950,Cerro,Uruguay,6 de agosto de 1930,8/6/1930,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Ruben_Moran,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Ruben_Moran_-_1950.jpg/250px-Ruben_Moran_-_1950.jpg
Rubén Corbo,Delantero,1,1974,Peñarol,Uruguay,20 de enero de 1952,1/20/1952,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Rubén_Corbo,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/ruben_romeo_corbo_.jpg
Rubén González,Defensa,1,1962,Nacional,Uruguay,17 de julio de 1939,7/17/1939,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://www.auf.org.uy/ruben-gonzalez/,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/ruben_gonzalez_.jpg
Rubén Paz,Centrocampista,2,"1986, 1990","Internacional, Genoa","Brasil, Italia",8 de agosto de 1959,8/8/1959,Artigas,Artigas,Uruguay,-30.40432,-56.46923,https://es.wikipedia.org/wiki/Rubén_Paz,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Ruben_paz_racing2.jpg/250px-Ruben_paz_racing2.jpg
Rubén Pereira,Centrocampista,1,1990,Danubio,Uruguay,28 de enero de 1968,1/28/1968,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Rubén_Pereira,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/ruben_pereira_un.jpg
Rubén Soria,Defensa,1,1962,Cerro,Uruguay,23 de enero de 1935,1/23/1935,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,,https://pbs.twimg.com/media/EPA0CpHX0AEM-XH.jpg
Rubén Sosa,Delantero,1,1990,Lazio,Italia,25 de abril de 1966,4/25/1966,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Rubén_Sosa,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/sosaruben.jpg
Santiago Ostolaza,Centrocampista,1,1990,Cruz Azul,México,10 de julio de 1962,7/10/1962,Dolores,Soriano,Uruguay,-33.53315,-58.21560,https://es.wikipedia.org/wiki/Santiago_Ostolaza,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/ostolazasantiago.jpg
Santos Urdinarán,Delantero,1,1930,Nacional,Uruguay,30 de marzo de 1900,3/30/1900,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Santos_Urdinarán,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/santos_urdinaran.jpg
Schubert Gambetta,Defensa,1,1950,Nacional,Uruguay,14 de abril de 1920,4/14/1920,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Schubert_Gambetta,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Urug1950.jpg/250px-Urug1950.jpg
Sebastián Abreu,Delantero,2,"2002, 2010","Cruz Azul, Botafogo",Brasil,17 de octubre de 1976,10/17/1976,Minas,Lavalleja,Uruguay,-34.37563,-55.23689,https://es.wikipedia.org/wiki/Sebastián_Abreu,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/SEBASTIAN_ABREU_%2816846564431%29_%28cropped%29.jpg/500px-SEBASTIAN_ABREU_%2816846564431%29_%28cropped%29.jpg
Sebastián Coates,Defensa,3,"2014, 2018, 2022","Nacional, Sporting de Lisboa","Uruguay, Portugal",7 de octubre de 1990,10/7/1990,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Sebastián_Coates,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/SELECCI%C3%93N_URUGUAY_%2822557495689%29_%28cropped%29.jpg/250px-SELECCI%C3%93N_URUGUAY_%2822557495689%29_%28cropped%29.jpg
Sebastián Eguren,Centrocampista,2,"2010, 2014","AIK, Palmeiras","Suecia, Brasil",8 de enero de 1981,1/8/1981,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Sebastián_Eguren,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sebasti%C3%A1n_Eguren_2013.jpg/250px-Sebasti%C3%A1n_Eguren_2013.jpg
Sebastián Fernández,Delantero,1,2010,Banfield,Argentina,23 de mayo de 1985,5/23/1985,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Sebastián_Fernández,https://upload.wikimedia.org/wikipedia/commons/e/ec/Malaga_trenning_%283%29.jpg
Sebastián Sosa,Guardameta,1,2022,Independiente,Argentina,19 de agosto de 1986,8/19/1986,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Sebastián_Sosa,https://upload.wikimedia.org/wikipedia/commons/2/28/Sebasti%C3%A1n_Sosa.jpg
Sergio Martínez,Delantero,1,1990,Defensor Sporting,Uruguay,15 de febrero de 1969,2/15/1969,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Sergio_Daniel_Martínez,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/sergio_martinez_un.jpg
Sergio Rochet,Guardameta,2,"2022, 2026","Nacional, Sport Club Internacional","Uruguay, Brasil",23 de marzo de 1993,3/23/1993,Nueva Palmira,Colonia,Uruguay,-33.87427,-58.40708,https://es.wikipedia.org/wiki/Sergio_Rochet,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Sergio_Rochet_%282022%29.jpg/250px-Sergio_Rochet_%282022%29.jpg
Sergio Santín,Centrocampista,1,1986,Atlético Nacional,Colombia,6 de agosto de 1956,8/6/1956,Salto,Salto,Uruguay,-31.38794,-57.96118,https://es.wikipedia.org/wiki/Sergio_Santín,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/sergio_santin_un2.jpg
Urbano Rivera,Centrocampista,1,1954,Danubio,Uruguay,1 de abril de 1926,4/1/1926,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://www.auf.org.uy/urbano-rivera/,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/urbano-rivera.jpeg
Venancio Ramos,Delantero,1,1986,Lens,Francia,20 de junio de 1959,6/20/1959,Pueblo Yacaré (Bernabé Rivera),Artigas,Uruguay,-30.29784,-56.97014,https://es.wikipedia.org/wiki/Venancio_Ramos,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/venancio_ramos_.jpg
Victoriano Santos Iriarte,Delantero,1,1930,Racing Club,Uruguay,2 de noviembre de 1902,11/2/1902,Canelones,Canelones,Uruguay,-34.52468,-56.28121,https://es.wikipedia.org/wiki/Victoriano_Santos_Iriarte,https://upload.wikimedia.org/wikipedia/commons/3/37/Santos_Iriarte_%28cropped%29.JPG
Víctor Diogo,Defensa,1,1986,Palmeiras,Brasil,09 de abril de 1958,4/9/1958,Treinta y Tres,Treinta y Tres,Uruguay,-33.23214,-54.38668,https://es.wikipedia.org/wiki/Víctor_Diogo,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/victor_diogo_.jpg
Víctor Espárrago,Centrocampista,3,"1966, 1970, 1974","Nacional, Sevilla",España,6 de octubre de 1944,10/6/1944,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Víctor_Espárrago,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/V%C3%ADctor_Esp%C3%A1rrago_%281972%29.png/250px-V%C3%ADctor_Esp%C3%A1rrago_%281972%29.png
Víctor Rodríguez Andrade,Defensa,2,"1950, 1954","Central, Peñarol",Uruguay,2 de mayo de 1927,5/2/1927,"Barrio Sur, Montevideo",Montevideo,Uruguay,-34.91087,-56.18818,https://es.wikipedia.org/wiki/Víctor_Rodríguez_Andrade,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/V%C3%ADctor_Rodr%C3%ADguez_Andrade%2C_Estadio%2C_1952-04-12_%28465%29.jpg/250px-V%C3%ADctor_Rodr%C3%ADguez_Andrade%2C_Estadio%2C_1952-04-12_%28465%29.jpg
Walter Corbo,Guardameta,1,1970,Peñarol,Uruguay,2 de mayo de 1949,5/2/1949,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Walter_Corbo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Walter_Corbo.jpg/250px-Walter_Corbo.jpg
Walter Gargano,Defensa,2,"2010, 2014","Napoli, Parma FC",Italia,23 de julio de 1984,7/23/1984,Paysandú,Paysandú,Uruguay,-32.31683,-58.08005,https://es.wikipedia.org/wiki/Walter_Gargano,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Walter_Gargano_-_SSC_Neapel_%283%29.jpg/250px-Walter_Gargano_-_SSC_Neapel_%283%29.jpg
Walter Mantegazza,Centrocampista,1,1974,Nacional,Uruguay,17 de junio de 1952,6/17/1952,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Walter_Mantegazza,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/walter_mantegazza_anefo.jpg
Walter Taibo,Guardameta,1,1966,Peñarol,Uruguay,7 de marzo de 1931,3/7/1931,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Walter_Taibo,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/walter_taibo_.jpg
Washington Ortuño,Centrocampista,1,1950,Peñarol,Uruguay,13 de mayo de 1928,5/13/1928,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Washington_Ortuño,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/washington_ortuno_.jpg
William Castro,Centrocampista,1,1990,Nacional,Uruguay,22 de mayo de 1962,5/22/1962,Mercedes,Soriano,Uruguay,-33.24863,-58.01876,https://es.wikipedia.org/wiki/William_Castro,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/william_castro_un.jpg
William Martínez,Defensa,3,"1950, 1954, 1962","Rampla Juniors, Peñarol","Uruguay, Uruguay",13 de enero de 1928,1/13/1928,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/William_Martínez,https://upload.wikimedia.org/wikipedia/commons/1/14/William_Mart%C3%ADnez%2C_Estadio%2C_1955-03-12_%28617%29_%28cropped%29.jpg
Wilmar Cabrera,Delantero,1,1986,Niza,Francia,31 de julio de 1959,7/31/1959,"Los Cerrillos, Canelones",Canelones,Uruguay,-34.60813,-56.36118,https://es.wikipedia.org/wiki/Wilmar_Cabrera,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/wilmar_cabrera.jpg
Zoilo Saldombide,Delantero,1,1930,Nacional,Uruguay,26 de octubre de 1903,10/26/1903,Santa Lucía,Canelones,Uruguay,-34.45371,-56.39298,https://es.wikipedia.org/wiki/Zoilo_Saldombide,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/zoilo_saldombide_.jpg
Álvaro Fernández,Centrocampista,2,"2010, 2014","Universidad de Chile, Gimnasia y Esgrima La Plata","Chile, Argentina",11 de octubre de 1985,10/11/1985,Agraciada,Colonia,Uruguay,-33.80993,-58.26809,https://es.wikipedia.org/wiki/Álvaro_Fernández_(futbolista_uruguayo),https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Alvaro_Fernandez_Sounders-1.jpg/330px-Alvaro_Fernandez_Sounders-1.jpg
Álvaro Gestido,Centrocampista,1,1930,Peñarol,Uruguay,17 de mayo de 1907,5/17/1907,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Álvaro_Gestido,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/alvaro_gestido_.jpg
Álvaro González,Centrocampista,1,2014,Lazio,Italia,29 de octubre de 1984,10/29/1984,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Álvaro_Rafael_González,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/%C3%81lvaro_Rafael_Gonz%C3%A1lez.jpg/250px-%C3%81lvaro_Rafael_Gonz%C3%A1lez.jpg
Álvaro Pereira,Centrocampista,2,"2010, 2014","Porto, São Paulo","Portugal, Brasil",28 de noviembre de 1985,11/28/1985,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Álvaro_Pereira,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/U06_%C3%81lvaro_Pereira_3372.jpg/250px-U06_%C3%81lvaro_Pereira_3372.jpg
Álvaro Recoba,Delantero,1,2002,Inter de Milán,Francia,17 de marzo de 1976,3/17/1976,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Álvaro_Recoba,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/%C3%81lvaro_Chino_Recoba_120520-1175-jikatu_%28cropped%29.jpg/330px-%C3%81lvaro_Chino_Recoba_120520-1175-jikatu_%28cropped%29.jpg
Ángel Cabrera,Delantero,1,1962,Peñarol,Uruguay,9 de octubre de 1939,10/9/1939,Mercedes,Soriano,Uruguay,-33.24863,-58.01876,https://es.wikipedia.org/wiki/Ángel_Rubén_Cabrera,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/angel_ruben_cabrera_.jpg
Óscar Míguez,Delantero,2,"1950, 1954","Peñarol, Peñarol","Uruguay, Uruguay",5 de diciembre de 1927,12/5/1927,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Óscar_Míguez,https://upload.wikimedia.org/wikipedia/commons/c/c4/%C3%93scar_M%C3%ADguez%2C_Estadio%2C_1955-04-02_%28620%29.jpg
Santiago Bueno,Defensa,1,2026,Wolverhampton,Inglaterra,9 de noviembre de 1998,9/11/1998,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Santiago_Bueno,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/bueno.png
Joaquín Piquerez,Defensa,1,2026,Palmeiras,Brasil,24 de agosto de 1998,8/24/1998,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Joaqu%C3%ADn_Piquerez,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/joaquin-piquerez222.jpg
Emiliano Martínez,Centrocampista,1,2026,Palmeiras,Brasil,17 de agosto de 1997,8/17/1999,Punta del Este,Maldonado,Uruguay,-34.93605,-54.93781,https://es.wikipedia.org/wiki/Emiliano_Mart%C3%ADnez_Toranza,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/martinez-emiliano-ct.jpg
Juan Manuel Sanabria,Centrocampista,1,2026,Real Salt Lake,Estados Unidos,29 de marzo de 2000,3/29/2000,Florida,Florida,Uruguay,-34.09446,-56.21859,https://es.wikipedia.org/wiki/Juan_Manuel_Sanabria,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/jm-sanabria.jpg
Rodrigo Zalazar,Centrocampista,1,2026,Braga,Portugal,12 de agosto de 1999,8/12/1999,Albacete,,España,38.99439,-1.86017,https://es.wikipedia.org/wiki/Rodrigo_Zalazar,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/zalazarrrrr.jpg
Maximiliano Araújo,Delantero,1,2026,Sporting de Lisboa,Portugal,15 de febrero de 2000,2/15/2000,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Maximiliano_Ara%C3%BAjo,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/araujo-maximiliano-ct-1.jpg
Brian Rodríguez,Delantero,1,2026,América,México,20 de mayo de 2000,5/20/2000,Tranqueras,Rivera,Uruguay,-31.1908,-55.76601,https://es.wikipedia.org/wiki/Brian_Rodr%C3%ADguez,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/rodriguez-brian-ct.jpg
Rodrigo Aguirre Soto,Delantero,1,2026,Tigres,México,1 de octubre de 1994,10/1/1994,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Rodrigo_Aguirre_Soto,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/raguirre.png
Federico Viñas,Delantero,1,2026,Real Oviedo,España,30 de junio de 1998,6/30/1998,Montevideo,Montevideo,Uruguay,-34.90550,-56.18511,https://es.wikipedia.org/wiki/Federico_Vi%C3%B1as,https://www.auf.org.uy/imagenes/img_contenido/seleccion_jugador/a/federico-vinas232.jpg